8	27
8	27
21	-10
27	16
-19	-11
-2	-25
6	-10
14	-6
-5	-1
11	0
13	14
24	25
0	21
8	9
11	-1
4	-9
15	-4
11	-4
7	13
0	-6
16	-6
-2	18
-9	-15
10	-1
13	-12
10	8
-45	35
-74	27
-57	23
-80	22
-91	35
-83	25
-68	16
-89	34
-90	26
-92	8
-100	30
-90	12
-85	-14
-38	-99
-23	-90
-102	-21
-105	-40
-60	-89
-43	-84
-78	-39
-103	-56
-50	-104
-43	-87
-96	-43
-104	-62
-46	-91
-19	-107
-73	-57
-58	-68
-30	-102
-19	-80
-68	-42
-88	-51
-22	-113
-46	-93
-54	-56
-82	-54
7	-96
-7	-130
-87	-70
-65	-38
-18	-89
3	-100
-57	-88
-53	-69
6	-101
96	-60
116	-27
122	15
95	-64
114	-62
132	11
109	9
93	-73
95	-79
116	16
79	84
2	103
7	125
43	109
57	87
-25	109
-77	74
-74	-8
-54	-109
15	-95
87	-59
91	18
70	90
-6	103
-25	104
76	99
46	93
-33	105
-98	48
-110	-14
-99	-25
-95	36
-56	100
46	87
62	68
-41	113
-18	104
17	96
79	54
127	-2
77	-66
-4	-105
-13	-90
67	-76
46	-97
-40	-117
-6	-97
63	-90
133	-21
86	81
37	110
-45	117
-52	92
24	125
89	70
118	-16
81	-84
-7	-94
27	-103
77	-65
100	9
81	60
68	72
117	7
124	0
84	65
-10	95
-56	75
-50	50
6	105
58	55
105	43
100	4
81	70
-1	104
-97	60
-83	52
-33	86
-9	113
-89	92
-100	-39
-25	-89
34	-142
90	-39
121	31
81	93
71	91
88	32
122	14
62	81
-20	112
-78	75
-80	35
-13	85
30	86
96	59
99	46
27	111
-63	77
-95	21
-88	-70
-13	-86
64	-96
90	-28
96	71
46	109
-39	106
-102	22
-75	-54
-29	-99
84	-80
97	-6
91	-47
65	-109
-37	-81
-67	-66
-95	-10
-51	56
33	79
90	79
90	72
17	106
30	95
101	62
103	4
68	-66
23	-124
-54	-71
-42	-110
11	-86
104	-81
146	30
132	20
83	-72
22	-131
-40	-61
-119	-29
-69	50
-98	58
-122	0
-56	-89
-3	-77
85	-62
102	26
96	-15
102	-46
121	-47
85	47
90	49
108	-26
101	-42
97	43
100	62
89	-39
47	-93
-25	-111
-36	-110
60	-96
121	-35
118	65
26	80
-59	78
-113	30
-87	-39
-99	-30
-98	7
-84	25
-90	-47
-89	-55
-75	25
-107	21
-95	-35
-72	-43
-99	12
-117	8
-78	-57
-90	-43
-77	29
-75	67
26	93
85	87
99	-8
75	-67
-1	-103
0	-110
104	-76
98	13
81	84
-12	123
-81	76
-118	1
-47	-63
10	-108
93	-89
82	-62
25	-106
14	-129
122	-47
118	29
48	69
-20	107
-64	77
-78	80
-6	109
79	87
70	23
99	-57
57	-104
-38	-96
-101	-28
-73	64
-31	78
-31	87
-99	31
-113	-13
-32	-88
-33	-110
-90	-49
-98	38
-63	99
-54	99
-118	26
-88	-51
-7	-108
-2	-82
-65	-56
-79	-53
-14	-110
-22	-80
-62	-48
-113	27
-53	76
34	94
81	58
86	9
68	-78
5	-106
-81	-59
-61	-61
7	-104
-8	-115
-60	-63
-88	-70
11	-142
16	-116
-70	-85
-95	2
-61	63
-80	82
-85	-13
-107	-10
-74	67
-5	107
65	101
115	34
111	-50
122	-43
85	32
43	119
-37	115
-79	37
-109	-20
-103	-33
-88	44
-45	102
12	81
57	106
-4	115
-26	112
34	108
20	102
-28	93
-90	25
-99	-40
-75	-60
-106	-12
-110	46
-75	-26
-8	-98
62	-89
113	-48
119	46
92	68
88	-31
113	5
85	44
93	56
138	-17
41	-88
8	-101
-4	-106
53	-80
135	-11
81	66
4	123
-60	94
-95	11
-90	-82
-83	-94
-93	-2
-69	69
3	95
-7	131
-93	66
-72	78
-24	100
3	119
-81	51
-111	-20
-65	-88
-57	-103
-79	-24
-90	-40
-54	-74
30	-122
124	-33
117	16
52	75
3	94
-88	63
-74	75
-8	108
85	83
86	26
86	-41
26	-99
-37	-90
-103	-40
-78	52
-26	63
-45	98
-72	37
-78	-47
-26	-97
24	-22
14	9
4	-9
-4	-5
15	6
1	31
-13	34
8	-12
44	-2
14	-15
12	22
11	4
30	26
-5	19
-13	25
37	-17
0	28
-5	-10
9	23
9	22
-2	-7
19	-14
13	-20
29	2
18	8
9	-8
10	1
-2	-14
21	-35
6	3
35	20
9	18
12	2
0	-5
30	-1
0	-6
0	20
-1	-4
15	2
37	5
1	10
0	-2
18	6
3	16
27	-14
11	5
